Issue Type,Issue Key,Epic Link,Summary,Description,Story Points,Labels,Components
Epic,EP-01,,Identity & Access (Entra External ID),"Stand up the External ID (CIAM) tenant and configure sign-up/sign-in, MFA, branding and admin protections so the app delegates all credential security to Microsoft.",,identity,Identity
Epic,EP-02,,Login & Authentication (App),Mobile and operator login experience built on External ID.,,auth,Login
Epic,EP-03,,Operations API,"Auth-provider-agnostic business API for permits, visits, sightings, hazards, locks and notifications. Auth enforced at APIM; no identity/auth tables.",,api,API
Epic,EP-04,,App Functionality,Core mobile app experience and self-service.,,mobile,App
Epic,EP-05,,Mapping & Navigation,"Site map, birdwatching areas and wayfinding.",,maps,Mapping
Epic,EP-06,,Content Management,"Safety, site info and tours managed by operators.",,content,Content
Epic,EP-07,,BACID / Bluetooth Locks,Electronic gate access replacing physical keys.,,bacid,BACID
Epic,EP-08,,Notifications & Alerts,"Push notifications for hazards, closures and evacuation.",,notifications,Notifications
Epic,EP-09,,Admin / Operator Interface,Web dashboard for operators to manage users and the site.,,admin,Admin
Epic,EP-10,,Platform DevOps & Infrastructure,"IaC, networking, APIM, CI/CD and edge (Cloudflare + Front Door).",,infra,Platform
Epic,EP-11,,Testing & Quality,"Integration, UAT, security and performance validation.",,test,Testing
Spike,SPIKE-01,EP-01,Spike: MSAL authentication investigation,"As a developer I want to validate the MSAL + External ID sign-up/sign-in flow on iOS and Android so that we confirm the token flow before committing to the full build. Time-box 3 days. Done when: spike branch demonstrates MSAL sign-up, sign-in, token acquisition and silent refresh; PKCE + Email OTP confirmed against a test External ID tenant; findings, risks and recommended approach documented.",3,spike;identity;mobile,Identity
Story,US-01.1,EP-01,Provision External ID tenant,"As an IDAM admin I want an external (CIAM) tenant provisioned so that public users are isolated from the MW workforce tenant. AC: RG rg-hub-ase-extid created in 0.MelbWater-Shared-Svcs and tagged; external tenant melbwaterext.onmicrosoft.com created with data residency Australia (immutable); MAU billing linked with budget + alert; tenant reachable via Entra admin centre and https://melbwaterext.ciamlogin.com.",5,identity;infra,Identity
Story,US-01.2,EP-01,App registrations per environment,"As a developer I want mobile, API and operator app registrations per environment so that no app objects are shared across dev/UAT/prod. AC: birdwatcher-mobile-<env> (public/native PKCE), birdwatcher-api-<env> (exposes Birdwatcher.Operations.ReadWrite), birdwatcher-operator-<env> registered per env; redirect URIs configured; no shared registrations.",3,identity,Identity
Story,US-01.3,EP-01,User flows (sign-up / sign-in / SSPR / profile edit),"As a public user I want sign-up, sign-in, password reset and profile edit flows so that I can self-serve without operator involvement. AC: Email + OTP baseline; sign-up collects displayName, vehicleRego, accountApproved; SSPR works end-to-end with no operator involvement; MW branding applied at tenant level.",5,identity,Identity
Story,US-01.4,EP-01,Admin security (MFA PIM Conditional Access break-glass),"As a security lead I want privileged roles protected so that admin access is least-privilege and monitored. AC: MFA enforced on all admin roles; PIM eligible assignments; CA requires MFA for admin sign-ins while end users get risk-based step-up only (no device controls); break-glass cloud-only accounts excluded from CA blocking with sign-in alerting.",5,identity;security,Identity
Story,US-01.5,EP-01,Custom URL domain via Azure Front Door,"As a user I want a branded login domain (login.melbournewater.com.au) so that the sign-in experience is trusted and on-brand. AC: custom domain verified (TXT) and associated as custom URL domain; Front Door profile created (origin <tenant>.ciamlogin.com, WAF/caching empty per MS guidance), managed TLS, route enabled; MSAL config + redirect URIs updated; full flow validated through the custom domain.",3,identity;infra,Identity
Story,US-02.1,EP-02,Mobile sign-up (first-time visitor),"As a new public user I want to sign up in the app so that I can access permit and site features. AC: Sign up launches the External ID sign-up flow; Email OTP verification succeeds; profile attributes captured and tokens returned; first authenticated API call to Operations API succeeds with the bearer token.",5,mobile;auth,Login
Story,US-02.2,EP-02,Returning user sign-in + silent token refresh,"As a returning user I want to stay signed in so that I'm not re-prompted every session. AC: cached account signs in silently; MFA challenged only when risk requires it; refresh token acquires access tokens silently for subsequent API calls.",3,mobile;auth,Login
Story,US-02.3,EP-02,Forgotten password (self-service),"As a user I want to reset my password in-app so that I don't need operator help. AC: Forgot password launches SSPR; email-verified reset completes with no operator involvement.",2,mobile;auth,Login
Story,US-02.4,EP-02,Public (unauthenticated) access,"As a member of the public I want to use maps and site info without logging in so that I can explore before applying. AC: app launches with maps and general site info available with no login; protected features prompt for sign-in only when needed.",3,mobile,Login
Story,US-03.1,EP-03,UserProfiles & permit state endpoints,"As an operator I want user profile and permit-state data so that I can see who holds access and its validity. AC: CRUD for UserProfiles (user details, permit type long/short, permit state); existing ~3K users importable (no OID); new users linkable on first sign-in; OpenAPI documented; APIM enforces validate-jwt.",8,api,API
Story,US-03.2,EP-03,Visits / site presence endpoints,"As an operator I want to know who is on site so that I can respond to safety events. AC: endpoints record site entry/exit and current presence; operator query returns current on-site list.",5,api,API
Story,US-03.3,EP-03,Sightings hazards & issue reports,"As a birdwatcher I want to report sightings, hazards and injured wildlife so that operators are informed. AC: create/list endpoints for sightings, hazards and issue reports (optional location/photo ref); operator state transitions (acknowledged/resolved) supported.",5,api,API
Story,US-03.4,EP-03,Tours locks & notifications data endpoints,"As a developer I want endpoints for tours, locks and notifications so that the app and admin features have a data source. AC: CRUD for tour content references, lock registry and notification records; schema covers permits, visits, sightings, hazards, tours, locks, notifications with no auth tables.",5,api,API
Story,US-03.5,EP-03,APIM JWT validation & rate limiting,"As a platform engineer I want APIM to validate External ID tokens so that the API trusts the gateway only. AC: validate-jwt targets External ID OIDC issuer (RS256), audience birdwatcher-api; rate limiting and Named Values configured; API does not validate tokens itself.",3,api;infra,API
Story,US-04.1,EP-04,Profile self-service (update personal details),"As a birdwatcher I want to update my details in-app so that my information stays current. AC: profile edits persist via the profile-edit flow / Operations API; vehicle registration editable.",3,mobile,App
Story,US-04.2,EP-04,Safety induction information,"As a visitor I want to read safety induction info so that I understand site hazards before visiting. AC: induction content viewable; completion state recorded where required.",3,mobile;content,App
Story,US-04.3,EP-04,Site introduction & visit planning,"As a visitor I want introductory info and trip-planning so that I can plan my visit. AC: intro content and planning views render; deep-link to permit application (short-term redirect / long-term in-app) works.",3,mobile,App
Story,US-04.4,EP-04,Report an issue (hazard / injured wildlife),"As a visitor I want to report an issue with optional photo and location so that operators can act. AC: issue submitted to Operations API; user sees confirmation and status.",5,mobile,App
Story,US-05.1,EP-05,Interactive site map (public),"As a user I want an interactive WTP map so that I can see birdwatching areas and hazards. AC: map renders offline-tolerant base layer; birdwatching areas and gates shown.",5,mobile;maps,Mapping
Story,US-05.2,EP-05,Wayfinding / navigate to areas,"As a visitor I want to navigate to birdwatching areas so that I can move around the large site safely. AC: route guidance to selected area; current location displayed; hazard zones highlighted.",5,mobile;maps,Mapping
Story,US-05.3,EP-05,Map content managed by operators,"As an operator I want to update map points (areas, hazards, gates) so that the map stays accurate. AC: operator edits to map features reflect in the app after sync.",5,maps;admin,Mapping
Story,US-06.1,EP-06,Manage safety & site content,"As an operator I want to create/edit safety and site content so that visitors see current information. AC: CRUD for content items; publish/unpublish; versioning of published content.",5,content;admin,Content
Story,US-06.2,EP-06,Guided digital tour authoring,"As an operator I want to author guided tours so that visitors get a self-guided experience. AC: tour steps (text, media, map points) authored and published; app renders the tour.",5,content;admin,Content
Story,US-06.3,EP-06,Media asset management,"As an operator I want to upload and manage media so that content includes images/audio. AC: media uploaded to blob storage; referenced by content; size/type validated.",3,content,Content
Story,US-07.1,EP-07,Lock registry & assignment,"As an operator I want to register Bluetooth locks and assign access so that approved visitors can open relevant gates. AC: locks registered; access grants tied to permit/area; revocation supported.",5,bacid;admin,BACID
Story,US-07.2,EP-07,Open Bluetooth gate from app,"As a visitor I want to open an authorised gate from the app so that I don't need a physical key. AC: app opens gate only when authorised; unlock event recorded; failure handled gracefully when out of range or unauthorised.",8,bacid;mobile,BACID
Story,US-07.3,EP-07,Access audit & on-site visibility,"As an operator I want lock/access events logged so that I know who entered and when. AC: unlock events feed visit/presence data; operator can review access history.",3,bacid;admin,BACID
Story,US-08.1,EP-08,Notification Hubs integration (APNs + FCM),"As a platform engineer I want Notification Hubs configured so that push works on iOS and Android. AC: Shared Services namespace; dev + prod hubs; device registration on sign-in.",5,notifications;infra,Notifications
Story,US-08.2,EP-08,Operator broadcast (hazard / closure / evacuation),"As an operator I want to send real-time alerts so that visitors are warned of hazards or told to evacuate. AC: operator sends targeted/broadcast push; delivery status visible; evacuation alert prioritised.",5,notifications;admin,Notifications
Story,US-08.3,EP-08,In-app notification centre & opt-in,"As a visitor I want to see and manage notifications so that I don't miss important alerts. AC: notification history viewable; permission prompts handled; safety alerts cannot be silently lost.",3,notifications;mobile,Notifications
Story,US-09.1,EP-09,Operator dashboard sign-in (MW tenant),"As an operator I want to sign in to the web dashboard with my MW account so that access is governed by MW IDAM. AC: operator app registration + app roles (WTP.Operator, WTP.Admin); HTTPS redirect URIs; role-gated UI.",3,admin;auth,Admin
Story,US-09.2,EP-09,Manage users (create update renew cancel),"As an operator I want to manage user accounts and permits so that I can onboard and maintain access holders. AC: create new user sends registration + app-download link; update/renew/cancel permits; long/short term handled.",5,admin,Admin
Story,US-09.3,EP-09,Site presence & safety dashboard,"As an operator I want to see who is on site so that I can respond to incidents. AC: live on-site list; issue/hazard reports queue; links to broadcast alerts.",5,admin,Admin
Story,US-09.4,EP-09,Manage access applications,"As an operator I want to review and action access applications so that approvals are tracked. AC: application list with approve/reject; status reflected to user; payment/permit type captured.",3,admin,Admin
Story,US-10.1,EP-10,Infrastructure as Code (Bicep),"As a platform engineer I want parameterised IaC so that all environments deploy consistently. AC: VNet/subnets/NSGs, Azure Firewall policy, APIM, App Service VNet integration + private endpoints, Azure SQL all parameterised per env.",8,infra;iac,Platform
Story,US-10.2,EP-10,Edge configuration (Cloudflare + Front Door),"As a platform engineer I want the two edges configured so that the API and auth planes are protected appropriately. AC: Cloudflare on API path (OWASP Core, Authenticated Origin Pulls, origin IP lock); Front Door branded proxy on auth path (WAF/caching empty).",3,infra;security,Platform
Story,US-10.3,EP-10,Network path & firewall CRs,"As a platform engineer I want the border-firewall change requests prepared so that the network path is approved per env. AC: Cloudflare IP ranges/ports documented; ExpressRoute gateway confirmed; BGP advertises APIM subnet; end-to-end smoke test passes.",5,infra;network,Platform
Story,US-10.4,EP-10,CI/CD pipelines (all environments),"As a developer I want CI/CD for IaC, API, Static Web App and DB so that deployments are repeatable via managed identity. AC: pipelines deploy each component to dev/UAT/prod; secrets via Key Vault / managed identity; no Identity API pipeline.",5,infra;cicd,Platform
Story,US-10.5,EP-10,Key Vault monitoring & alerting,"As a platform engineer I want monitoring and secrets management so that the platform is observable and secure. AC: App Insights + Log Analytics; alerts configured; no JWT signing key stored (Microsoft-managed RS256).",5,infra;observability,Platform
Story,US-11.1,EP-11,Integration testing with mobile team,"As a QA engineer I want to test full auth + API flows so that the app and backend integrate correctly. AC: mock tokens replaced with real External ID tokens; all Operations API calls exercised; bug-fix cycle complete.",8,test,Testing
Story,US-11.2,EP-11,UAT & smoke tests across environments,"As a QA engineer I want UAT and promotion smoke tests so that releases are validated end to end. AC: smoke tests pass across the full Cloudflare to firewall to ExpressRoute to Azure FW to APIM to API path in each env.",5,test,Testing
Story,US-11.3,EP-11,Security & penetration validation,"As a security lead I want security testing so that the solution meets MW cyber requirements. AC: OWASP-aligned checks on API; auth-flow abuse cases; findings triaged and remediated.",5,test;security,Testing
Story,US-11.4,EP-11,Performance & resilience testing,"As a QA engineer I want load and resilience tests so that the platform handles expected volume. AC: target load sustained within SLAs; failover/availability behaviour validated.",3,test;performance,Testing
